Metacritic Score [binned],Wii,DS,3DS,GBA,PS4,PS2,WiiU,PS3,X360,PC,GC,XOne,XB,PSP,PS,PSV,DC
75-79,129.06,79.43,22.12,38.05,40.03,125.15,13.6,101.82,95.92,24.85,21.94,24.18,32.78,23.89,7.52,6.1,0
80-84,150.87,62.38,10.65,22.78,65.33,183.82,16.41,183.04,199.13,38.37,23.52,41.07,46.25,31.95,18.32,5,1.18
85-89,56.16,66.36,33.88,16.96,55.19,152.99,15.22,164.56,149.83,49.35,20.96,29.47,43.95,31.89,51.55,4.18,1.65
55-59,54.71,25.74,8.03,11.23,1.67,47.15,0.74,21.89,18.82,1.36,6.11,1.3,7.91,9.8,2.31,1.46,0
90-94,22.9,31.34,16.06,11.58,18.47,108.5,5.74,102.09,138.44,40.86,24.89,4.81,25.6,4.24,79.99,1.26,0.29
60-64,44.45,26.5,6.02,12.5,7.05,62.16,1.4,27.82,47.26,4.14,13.89,3.92,10.12,20.63,11.92,3.46,0
95-99,26.01,0,0,3.88,12.61,83.26,0,63.56,52.22,8.97,10.7,6.23,14.92,0,22.79,0,1.43
70-74,83.89,60.46,10.04,21.48,30.84,106.41,4.57,77.42,87.55,19.3,27.19,14.63,27.14,41.93,12.1,4.95,0
65-69,67.16,50.27,12.13,11.9,8.08,77.99,6.62,24.93,39.73,4.23,14.03,2.61,15.63,24.38,11.29,2.18,0
45-49,21.71,11.99,2.05,6.75,0.74,15.66,0.64,4.36,10.25,0.58,2.52,0.19,2.05,2.52,1.44,0.6,0
50-54,18.6,11.49,2.39,8.52,2.13,21.54,0.35,12.75,12.45,0.83,3.55,0.66,3.61,5.76,4.77,0.4,0
25-29,5.73,0.61,0.02,0.3,0.06,0.13,0,0.13,1.11,0,0.09,0,0.24,0.47,0.79,0,0
40-44,6.71,4.62,1.23,1.64,0.4,5.77,0.17,9.18,9.04,0.04,0.62,0,1.2,1.31,2.69,0.2,0
30-34,2.05,1.46,0,0.24,0.21,1.91,0.67,0.94,2.56,0.08,0.21,0,0.7,0.07,1.25,1.47,0
35-39,6.08,2.03,0,2.51,0.16,5.77,0,1.7,4.18,0.63,1.13,0.37,0.79,0.66,0.96,0,0
20-24,0.08,1.77,0,0.08,0,0.1,0.13,0,0.12,0,0.02,0.28,0.09,0,0,0,0
15-19,0.14,0,0,0.11,0,0,0.1,0.06,0,0,0,0.22,0,0,0,0,0
10-14,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0